ID	oldPatchID	patchType	distance_m	xcor	ycor	size_sqm	quantityPollen_g	Concentration	quantityNectar_l	calc_DetectProb	model_DetectProb	NectarGathering_s	PollenGathering_s	startDay	stopDay	ETOX_ApplicationList_patch	ETOX_ExposurePeriodsList_patch	ETOX_PPPConcNectar_patch	ETOX_PPPConcPollen_patch	ETOX_PPPContact_patch	ETOX_WaterVolume_patch	ETOX_WaterConc_patch	ETOX_RUD_patch
39	39	"BlueField"	4110.3	4125	-750	177734	355.468	1.5	22.217	0.00024	0.00012	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
40	40	"YellowField"	225.3	0	-437.5	64453	161.132	1.5	32.226	0.14217	0.20485	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
41	41	"BlueField"	3237.1	-3906.25	-656.25	354492	708.984	1.5	44.311	0.00109	0.00039	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
42	42	"BlueField"	537.6	312.5	-437.5	977	1.954	1.5	0.122	0.00592	0.03665	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
43	43	"RedField"	1403.8	1218.75	-531.25	25391	253.91	2	3.174	0.00464	0.00952	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
44	44	"RedField"	620.3	-781.25	-875	183594	1835.94	2	22.949	0.06153	0.12993	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
45	45	"BlueField"	1027.9	843.75	-468.75	977	1.954	1.5	0.122	0.00185	0.00694	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
46	46	"BlueField"	2935.7	-3312.5	-562.5	138672	277.344	1.5	17.334	0.00103	0.00184	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
47	47	"BlueField"	1149	937.5	-562.5	977	1.954	1.5	0.122	0.00146	0.00283	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
48	48	"RedField"	1076.2	-1093.75	-687.5	64453	644.53	2	8.057	0.01355	0.04383	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
49	49	"YellowField"	965.2	1031.25	-656.25	18555	46.387	1.5	9.277	0.00915	0.01852	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
50	50	"RedField"	3858.5	3687.5	-750	17578	175.78	2	2.197	0.00011	0.00007	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
51	51	"RedField"	594.6	-312.5	-750	112305	1123.05	2	14.038	0.05238	0.1137	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
52	52	"RedField"	3468.9	3406.25	-875	28320	283.2	2	3.54	0.00023	0.00027	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
53	53	"RedField"	1016.5	812.5	-968.75	65430	654.3	2	8.179	0.01538	0.0305	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
54	54	"BlueField"	4094.8	4093.75	-812.5	96680	193.36	1.5	12.085	0.00018	0	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
55	55	"BlueField"	3374	-3687.5	-937.5	135742	271.484	1.5	16.968	0.00056	0.00002	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
56	56	"YellowField"	4411.1	4281.25	-1125	55664	139.16	1.5	27.832	0.00009	0	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
57	57	"RedField"	4793.6	-4937.5	-1093.75	25391	253.91	2	3.174	0.00004	0	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
58	58	"BlueField"	1431.4	1031.25	-968.75	977	1.954	1.5	0.122	0.00087	0.00253	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
59	59	"RedField"	1040.2	-687.5	-1000	977	9.77	2	0.122	0.0018	0.01247	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
60	60	"RedField"	3074.1	2843.75	-1000	13672	136.72	2	1.709	0.00027	0.00042	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
61	61	"BlueField"	4588.8	-4812.5	-1437.5	160156	320.312	1.5	20.019	0.00012	0	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
62	62	"BlueField"	3104	-3250	-1406.25	69336	138.672	1.5	8.667	0.00058	0.00106	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
63	63	"RedField"	3350.8	3218.75	-1156.25	50781	507.81	2	6.348	0.00035	0.00017	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
64	64	"YellowField"	4032.3	-4312.5	-1187.5	222656	556.64	1.5	111.328	0.0003	0.00002	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
65	65	"RedField"	1318.8	-500	-1406.25	166992	1669.92	2	20.874	0.01373	0.02509	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
66	66	"RedField"	2713.5	2375	-1593.75	20508	205.08	2	2.564	0.00054	0.00086	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
67	67	"RedField"	1593.8	687.5	-1562.5	34180	341.8	2	4.273	0.00388	0.0094	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
68	68	"RedField"	1411.8	31.25	-1812.5	74219	742.19	2	9.277	0.0078	0.01557	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
69	69	"BlueField"	4634.8	-4656.25	-1562.5	91797	183.594	1.5	11.475	0.00009	0	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
70	70	"YellowField"	4161.1	-4062.5	-1656.25	147461	368.652	1.5	73.73	0.00021	0	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
71	71	"RedField"	3717.6	3312.5	-1781.25	21484	214.84	2	2.686	0.00014	0.00005	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
